open,high,low,close,volume,marketCap,timestamp
0.00005517644176,0.00005834077164,0.00005364032427,0.00005487193845,3142625649.34,30129935015.06,"2021-11-09T23:59:59.999Z"
0.00005484499587,0.000055180043,0.00004604205612,0.00005048102025,4318757158.39,27718901544.91,"2021-11-10T23:59:59.999Z"
0.00005662665058,0.00005681626001,0.00005135249086,0.00005231812467,2888701213.72,28727647335.7,"2021-11-12T23:59:59.999Z"
0.00005238945474,0.00005278031571,0.000050869113,0.00005168481829,1678572264.71,28379901646.53,"2021-11-13T23:59:59.999Z"
0.0000517200902,0.00005603768765,0.00005155603621,0.00005322374693,2504828825.05,29224920448.81,"2021-11-14T23:59:59.999Z"
0.00005350844576,0.00005380621198,0.00004563371238,0.00004848892207,3935874227.24,26625049378.04,"2021-11-16T23:59:59.999Z"
0.00004842305149,0.00004982215517,0.00004734957564,0.00004811065657,2389403756.75,26415442380.64,"2021-11-17T23:59:59.999Z"
0.00004815332213,0.00004890140415,0.00004077652673,0.0000424198389,3495863722.74,23290865061.83,"2021-11-18T23:59:59.999Z"
0.00004857612421,0.00004996237406,0.00004574941649,0.00004762872706,2406332844.93,26150836114.75,"2021-11-20T23:59:59.999Z"
0.00004769604589,0.00004769604589,0.00004362448616,0.00004418944406,1636858723.08,24262477308.24,"2021-11-21T23:59:59.999Z"
0.00004326409263,0.00004452162935,0.00004122071267,0.00004185580092,1893597810.7,22981176650.58,"2021-11-23T23:59:59.999Z"
0.00004190078047,0.00004280964419,0.00003610842912,0.00004032113467,2027746049.24,22138559012.59,"2021-11-24T23:59:59.999Z"
0.00003785029199,0.00004754465793,0.00003775658856,0.00003976607027,4151282644.61,21833797598.77,"2021-11-25T23:59:59.999Z"
0.00003862258737,0.00004151575004,0.00003825095211,0.00003934376996,2068580737.94,21601931100.1,"2021-11-27T23:59:59.999Z"
0.00003927293499,0.00003955470262,0.00003656998885,0.00003909654961,1902056544.39,21466193295.14,"2021-11-28T23:59:59.999Z"
0.00003914985409,0.00004554529542,0.00003851801984,0.00004550914377,3667758287.17,24986763954.33,"2021-11-29T23:59:59.999Z"
